DateTime,Discharge Rate,Remaining Capacity,Available MBytes,Bytes Total/sec,Processor Time
12/28/2022 14:27:08,6762,53300,5720,3143.415689,0.468906604
12/28/2022 14:27:09,6148,53260,5720,12358.09676,3.175251884
12/28/2022 14:27:10,6148,53260,5701,13883.79752,3.486270506
12/28/2022 14:27:11,6148,53260,5675,12318.82124,3.603690905
12/28/2022 14:27:12,6148,53260,5678,5924.460282,5.415612491
12/28/2022 14:27:13,6148,53260,5684,5733.508298,5.018567097
12/28/2022 14:27:14,6148,53260,5640,201607.4007,4.320002646
12/28/2022 14:27:15,6148,53260,5592,225976.127,13.59998308
12/28/2022 14:27:16,6148,53260,5648,205400.4036,10.07118045
12/28/2022 14:27:17,6172,53240,5615,49691.41177,5.605139783
12/28/2022 14:27:18,6172,53240,5610,49904.72529,5.060607221
12/28/2022 14:27:19,6172,53240,5607,1485563.167,7.05257117
12/28/2022 14:27:20,6172,53240,5533,618577.3665,18.92986546
12/28/2022 14:27:21,6172,53240,5543,34319.11205,5.687206723
12/28/2022 14:27:22,6172,53240,5498,21440.21536,11.88228445
12/28/2022 14:27:23,6172,53240,5537,80925.97337,7.887875465
12/28/2022 14:27:24,6172,53240,5565,99234.16895,6.441736722
12/28/2022 14:27:25,6172,53240,5575,82015.8531,4.979850604
12/28/2022 14:27:26,6172,53240,5664,127411.3025,11.52548242
12/28/2022 14:27:27,6172,53240,5642,117230.4705,7.413747036
12/28/2022 14:27:28,6172,53240,5664,7259.351112,7.466202942
12/28/2022 14:27:29,6172,53240,5662,2812.114758,2.751097086
12/28/2022 14:27:30,6172,53240,5669,2361.476631,2.171268205
12/28/2022 14:27:31,6172,53240,5700,6925.076031,6.093473624
12/28/2022 14:27:32,6172,53240,5709,10515.73107,3.454758225
12/28/2022 14:27:33,6172,53240,5704,2558.64094,7.405388159
12/28/2022 14:27:34,6172,53240,5700,1873.623306,4.871442213
12/28/2022 14:27:35,10016,53150,5702,14860.48152,6.021686297
12/28/2022 14:27:36,10016,53150,5702,52278.92422,6.480161674
12/28/2022 14:27:37,10016,53150,5700,18665.72772,7.763171012
12/28/2022 14:27:38,10016,53150,5575,2035757.604,20.78447299
12/28/2022 14:27:39,10016,53150,5549,385844.0978,9.883765542
12/28/2022 14:27:40,10016,53150,5556,1946.758457,7.522487196
12/28/2022 14:27:41,10016,53150,5563,812.1441348,3.533832715
12/28/2022 14:27:42,10016,53150,5557,1325.051548,10.57084428
12/28/2022 14:27:43,10016,53150,5550,58069.04819,3.615476311
12/28/2022 14:27:44,10016,53150,5554,5765.115023,4.113071031
12/28/2022 14:27:45,10016,53150,5551,666.2100666,2.306168166
12/28/2022 14:27:46,10016,53150,5569,992.1972207,6.553979821
12/28/2022 14:27:47,10016,53150,5582,796.3356203,6.1586769
12/28/2022 14:27:48,10016,53150,5598,10145.0969,2.968426527
12/28/2022 14:27:49,10862,53110,5601,33102.585,0.134464272
12/28/2022 14:27:50,10862,53110,5616,2409.243411,3.715727532
12/28/2022 14:27:51,10862,53110,5610,4225.189351,3.844201916
12/28/2022 14:27:52,10862,53110,5616,2135.525967,5.335111577
12/28/2022 14:27:53,10862,53110,5622,2647.852583,8.252606943
12/28/2022 14:27:54,10862,53110,5639,2722.957804,5.020728523
12/28/2022 14:27:55,10862,53110,5637,2067.312537,3.417289142
12/28/2022 14:27:56,10862,53110,5636,2053.169867,1.827141629
12/28/2022 14:27:57,10862,53110,5641,2082.032686,3.882298769
12/28/2022 14:27:58,10862,53110,5637,2049.058894,0.696514336
12/28/2022 14:27:59,10862,53110,5607,3220.201397,6.799003549
12/28/2022 14:28:00,10862,53110,5618,2478.349475,3.833480795
12/28/2022 14:28:01,10862,53110,5617,2398.37263,3.47270398
12/28/2022 14:28:02,10862,53110,5615,2002.886525,3.319534769
12/28/2022 14:28:03,10862,53110,5638,14668.79112,2.433208187
12/28/2022 14:28:04,10862,53110,5636,5562.416927,5.185974752
12/28/2022 14:28:05,10862,53110,5636,5116.956288,8.236145811
12/28/2022 14:28:06,10862,53110,5607,26471.03456,5.185051555
12/28/2022 14:28:07,8314,53070,5614,3087.880745,3.899635918
12/28/2022 14:28:08,8314,53070,5603,64601.94465,4.731503821
12/28/2022 14:28:09,8314,53070,5558,291363.2042,9.765554594
12/28/2022 14:28:10,8314,53070,5555,8375.514768,4.37532155
12/28/2022 14:28:11,8314,53070,5558,6453.037956,7.036428514
12/28/2022 14:28:12,8314,53070,5565,3450.781204,5.50145815
12/28/2022 14:28:13,8476,53060,5557,5614.017022,3.298598974
12/28/2022 14:28:14,8476,53060,5558,9586.959257,6.805620143
12/28/2022 14:28:15,8476,53060,5558,2643.003357,6.511868145
12/28/2022 14:28:16,8476,53060,5559,2044.639016,5.313189038
12/28/2022 14:28:17,8476,53040,5564,1920.62183,2.438170339
12/28/2022 14:28:18,8476,53040,5578,2401.87069,3.524389888
12/28/2022 14:28:19,8476,53040,5581,2359.665452,4.296024364
12/28/2022 14:28:20,8476,53040,5591,50838.73302,3.715689366
12/28/2022 14:28:21,8476,53040,5585,3214.168665,1.794665239
12/28/2022 14:28:22,8476,53040,5590,2660.733491,3.987022918
12/28/2022 14:28:23,8476,53040,5586,2336.573966,7.915110021
12/28/2022 14:28:24,8476,53040,5576,3425.400475,5.899648917
12/28/2022 14:28:25,8476,53040,5567,8994.018889,8.628799404
12/28/2022 14:28:26,8476,53040,5572,2466.892681,5.366052126
12/28/2022 14:28:27,8476,53040,5574,5534.798964,3.629777516
12/28/2022 14:28:28,8476,53040,5579,1972.179999,2.287716219
12/28/2022 14:28:29,8476,53040,5574,3040.343154,3.414675668
12/28/2022 14:28:30,8476,53040,5578,1987.853633,9.352026305
12/28/2022 14:28:31,8476,53040,5583,3757.677289,3.467973241
12/28/2022 14:28:32,8476,53040,5583,1767.576982,3.103930549
12/28/2022 14:28:33,8476,53040,5581,1979.830737,2.645953055
